StudentID,G3
1714,14
1254,15
1639,11
1118,13
1499,0
1634,13
1928,16
1068,10
1882,10
2027,11
1293,11
1778,14
1292,11
1835,12
1335,13
1172,10
1535,15
1347,12
1891,9
1052,11
1125,10
1161,15
1442,9
1400,6
1230,14
1877,14
1682,19
1667,11
1509,12
1011,11
1297,8
1737,14
1732,7
1430,7
2039,11
1606,18
1287,10
1987,14
1570,17
1075,11
1964,12
1544,17
1392,11
1730,12
1181,10
1889,16
1163,11
1325,17
1895,10
1720,12
1596,12
1754,14
1028,8
1022,13
1871,16
1686,14
1170,16
1530,10
1982,15
1174,10
1817,11
1632,0
1137,11
1115,13
1970,10
1108,11
1954,15
1559,9
1552,14
1291,10
1184,10
1975,17
1223,15
1607,14
1317,8
1628,9
1843,11
1580,12
1654,11
1893,11
1242,11
1140,10
1453,18
1142,14
1106,8
1892,13
1186,5
1739,0
1630,16
1614,14
1538,13
1780,13
1305,14
1278,15
2004,13
1112,10
1572,14
2038,8
1147,12
1199,14
1962,11
1383,12
1210,10
1941,11
1969,10
1389,8
1644,8
1150,15
1999,5
1188,12
1702,10
1077,17
2001,17
1412,8
1323,13
1832,12
1318,16
1852,5
1818,16
1441,11
1695,15
1729,10
1978,18
1225,7
1082,9
1175,6
1361,10
1280,10
1034,12
1190,13
1196,13
1526,16
1549,13
1455,13
1448,11
1913,17
1853,12
1790,13
1429,11
1393,10
1395,16
2042,11
1525,16
1766,15
1121,11
1510,13
1348,10
1352,11
1758,8
1854,11
1557,15
1396,14
1234,13
1341,16
1847,12
1276,0
1200,12
1791,13
1228,0
1107,16
1145,11
1977,13
1815,13
1132,10
1694,10
1711,11
2006,14
1850,11
1717,12
1488,6
1282,0
1998,14
1590,17
1594,12
1384,8
1148,14
2029,11
1023,10
1091,11
1045,0
1723,10
1937,10
1942,15
1776,13
1953,12
1299,13
1468,9
1627,10
1032,13
1236,10
1105,10
1020,14
1617,12
1221,15
1649,11
1377,15
1220,13
1265,15
1123,15
1836,15
1725,13
1775,12
1692,11
1952,11
1366,12
1671,8
1460,15
1337,0
1918,8
1130,13
1801,11
1705,14
1743,14
2008,0
1794,16
1810,8
1901,13
1405,8
1457,10
1884,6
1496,12
1819,11
1420,11
1503,10
1856,17
2014,12
1909,11
1593,12
1235,11
1748,11
1601,10
1284,9
1015,11
1146,8
1067,6
1604,10
1003,15
1159,8
1976,8
1875,12
1968,8
1704,9
1065,16
1631,12
1334,12
1675,11
1568,16
1268,11
1813,14
1874,10
1619,14
1189,16
1857,15
1102,13
1256,15
2023,10
1262,10
1233,10
1120,0
1185,6
1054,13
1198,14
1039,15
1911,0
1860,13
1806,12
2043,10
1202,11
1010,10
1302,17
1550,9
1959,12
1041,10
1578,12
1222,10
1533,10
1373,12
1470,9
1249,8
1664,7
1793,15
1203,13
1069,11
1319,14
1484,14
1741,14
1131,8
1972,14
1072,10
1285,0
1152,12
1599,9
1314,10
1135,9
1961,11
1404,12
1687,14
1925,15
1073,11
1807,11
1990,11
1521,11
1971,11
1983,8
1029,10
1138,10
1002,10
1370,0
1996,13
1097,14
1696,12
1363,13
1881,5
1367,13
1270,9
1986,14
1537,9
1001,0
1831,11
1362,8
1309,13
1321,8
1397,16
1381,13
1788,7
2016,11
1505,12
1126,9
1657,13
1809,8
1967,9
1534,8
1093,16
1446,11
1277,11
1124,6
1736,6
1713,14
1625,14
1004,10
1994,12
1241,12
1252,14
1401,18
1902,12
1576,9
1642,9
1474,12
1368,10
1475,16
1575,10
1787,8
1421,16
1691,11
1110,10
1716,10
1409,17
1191,12
1666,10
1626,10
1498,13
1760,0
1922,10
1329,12
1213,13
1930,11
1992,18
1005,18
1920,9
1697,10
1782,10
1906,11
1751,13
1466,6
1827,15
2031,7
1173,10
1275,11
2007,11
1438,11
1693,12
1443,10
1094,10
1342,17
1811,18
1471,11
1779,18
1445,19
2011,5
1873,10
1402,17
1456,11
1749,16
1227,8
2024,20
1789,9
1427,10
1985,11
1239,16
1179,8
1621,8
1378,13
1555,9
1128,0
1117,11
1541,14
1349,11
2010,15
1162,10
1744,10
1006,17
1101,10
1344,9
1320,13
1492,9
1679,13
2030,19
1493,14
1219,14
1519,17
1416,15
1771,13
1050,10
1747,16
1904,14
1558,14
1523,13
1821,11
1109,19
1197,17
2040,15
1182,10
1989,8
1553,10
1171,10
1116,13
1912,0
1781,16
1979,14
1963,12
1945,10
1434,10
1768,11
1919,11
1674,8
1016,17
1092,11
1608,15
1656,14
1658,9
1224,10
1993,10
1090,7
1327,15
1637,13
1805,14
1382,11
1605,11
1358,0
1246,15
1312,0
1546,15
1545,18
1290,0
1935,18
1380,10
1081,0
1477,11
1727,12
1465,10
1597,16
1207,13
1506,14
1372,15
1388,8
1598,13
2002,8
1830,11
1735,9
1577,10
1414,9
1354,12
1056,11
1677,10
1030,0
1802,15
1991,10
1504,8
1247,9
1387,14
1245,10
1643,9
1345,18
1903,8
1038,12
1012,13
1218,15
1950,13
1111,15
1376,9
1195,15
1803,0
1480,12
1812,0
1719,7
1027,16
1706,15
1415,10
1769,11
1886,17
1798,15
1308,14
1946,12
1915,8
1304,15
1450,0
1520,9
1974,8
1283,13
1425,10
1586,13
1042,7
1651,14
1668,10
1201,0
1263,9
1301,10
1742,11
1866,12
1353,15
1898,10
1539,12
1676,14
1561,14
1269,14
1585,12
1816,13
1896,11
1567,10
1089,13
1862,16
1938,12
1566,9
1007,6
1826,11
1869,15
1532,12
1009,12
1180,14
1973,13
1490,8
1419,0
1955,11
1390,12
1799,14
1411,11
1264,8
1359,11
1141,10
1332,10
1432,11
1502,10
1554,10
1267,10
1507,14
1266,11
1834,13
1564,14
1433,9
1238,4
1322,7
1940,18
1796,14
1113,15
1740,17
1547,11
1944,0
1428,15
1589,9
1581,15
1296,9
1177,15
1209,11
1063,10
1910,13
1026,17
1795,9
1151,17
1257,0
1095,11
1840,12
1374,10
1653,13
1464,10
1629,14
1536,16
1406,9
1613,13
1880,12
1636,11
1755,14
1615,16
2005,15
1127,9
1733,8
1463,18
1655,12
2020,15
1761,0
1591,11
2033,12
1833,12
1709,9
1923,0
1592,12
1328,7
1459,10
1435,12
1765,13
1454,10
1176,12
1398,0
2000,17
1333,11
1133,8
1588,6
1879,12
1921,15
2015,10
1019,9
1845,16
1899,13
1491,15
1048,15
1995,12
1661,14
1929,9
1786,8
1618,13
1259,14
1357,11
1579,12
1086,11
1206,14
1156,16
1410,11
1997,11
1478,16
1099,13
1753,10
1777,11
1623,14
1064,10
1767,12
1253,11
1129,8
1144,11
1083,0
2041,15
1375,10
1844,11
1154,8
1080,14
1294,10
1351,11
1678,16
1204,17
1271,13
1516,13
1602,11
1481,16
1208,0
1360,0
1074,14
1044,11
1078,13
1055,10
1394,18
